학생ID,문제ID,대주제,소주제,정답여부
1001,1,과학,동물,0
1001,2,사회,정치,1
1001,3,과학,지구,0
1001,4,과학,식물,0
1001,5,수학,측정,1
1001,6,영어,듣기,1
1001,7,사회,문화,1
1001,8,수학,도형,0
1001,9,사회,지리,0
1001,10,과학,화학,1
1001,11,영어,어휘,1
1001,12,영어,독해,0
1001,13,영어,쓰기,1
1001,14,사회,역사,0
1001,15,사회,경제,0
1001,16,수학,소수,0
1001,17,수학,분수,0
1001,18,영어,문법,1
1001,19,수학,방정식,0
1001,20,과학,물리,1
1002,1,과학,동물,0
1002,2,사회,정치,1
1002,3,과학,지구,0
1002,4,과학,식물,0
1002,5,수학,측정,0
1002,6,영어,듣기,1
1002,7,사회,문화,0
1002,8,수학,도형,0
1002,9,사회,지리,1
1002,10,과학,화학,0
1002,11,영어,어휘,1
1002,12,영어,독해,1
1002,13,영어,쓰기,0
1002,14,사회,역사,1
1002,15,사회,경제,1
1002,16,수학,소수,1
1002,17,수학,분수,1
1002,18,영어,문법,1
1002,19,수학,방정식,0
1002,20,과학,물리,0
1003,1,과학,동물,1
1003,2,사회,정치,1
1003,3,과학,지구,1
1003,4,과학,식물,0
1003,5,수학,측정,0
1003,6,영어,듣기,1
1003,7,사회,문화,0
1003,8,수학,도형,0
1003,9,사회,지리,0
1003,10,과학,화학,1
1003,11,영어,어휘,0
1003,12,영어,독해,0
1003,13,영어,쓰기,1
1003,14,사회,역사,0
1003,15,사회,경제,0
1003,16,수학,소수,0
1003,17,수학,분수,1
1003,18,영어,문법,0
1003,19,수학,방정식,0
1003,20,과학,물리,0
1004,1,과학,동물,0
1004,2,사회,정치,0
1004,3,과학,지구,1
1004,4,과학,식물,0
1004,5,수학,측정,1
1004,6,영어,듣기,1
1004,7,사회,문화,0
1004,8,수학,도형,1
1004,9,사회,지리,1
1004,10,과학,화학,0
1004,11,영어,어휘,1
1004,12,영어,독해,1
1004,13,영어,쓰기,1
1004,14,사회,역사,0
1004,15,사회,경제,0
1004,16,수학,소수,0
1004,17,수학,분수,1
1004,18,영어,문법,1
1004,19,수학,방정식,1
1004,20,과학,물리,0
1005,1,과학,동물,0
1005,2,사회,정치,1
1005,3,과학,지구,1
1005,4,과학,식물,0
1005,5,수학,측정,0
1005,6,영어,듣기,1
1005,7,사회,문화,1
1005,8,수학,도형,0
1005,9,사회,지리,0
1005,10,과학,화학,1
1005,11,영어,어휘,0
1005,12,영어,독해,1
1005,13,영어,쓰기,0
1005,14,사회,역사,0
1005,15,사회,경제,1
1005,16,수학,소수,1
1005,17,수학,분수,0
1005,18,영어,문법,0
1005,19,수학,방정식,1
1005,20,과학,물리,0
1006,1,과학,동물,0
1006,2,사회,정치,0
1006,3,과학,지구,0
1006,4,과학,식물,1
1006,5,수학,측정,0
1006,6,영어,듣기,1
1006,7,사회,문화,0
1006,8,수학,도형,0
1006,9,사회,지리,0
1006,10,과학,화학,0
1006,11,영어,어휘,1
1006,12,영어,독해,0
1006,13,영어,쓰기,1
1006,14,사회,역사,1
1006,15,사회,경제,1
1006,16,수학,소수,1
1006,17,수학,분수,0
1006,18,영어,문법,1
1006,19,수학,방정식,1
1006,20,과학,물리,1
1007,1,과학,동물,1
1007,2,사회,정치,1
1007,3,과학,지구,0
1007,4,과학,식물,0
1007,5,수학,측정,0
1007,6,영어,듣기,0
1007,7,사회,문화,1
1007,8,수학,도형,0
1007,9,사회,지리,1
1007,10,과학,화학,0
1007,11,영어,어휘,0
1007,12,영어,독해,1
1007,13,영어,쓰기,1
1007,14,사회,역사,0
1007,15,사회,경제,0
1007,16,수학,소수,1
1007,17,수학,분수,0
1007,18,영어,문법,1
1007,19,수학,방정식,0
1007,20,과학,물리,1
1008,1,과학,동물,1
1008,2,사회,정치,1
1008,3,과학,지구,0
1008,4,과학,식물,1
1008,5,수학,측정,0
1008,6,영어,듣기,1
1008,7,사회,문화,0
1008,8,수학,도형,0
1008,9,사회,지리,1
1008,10,과학,화학,1
1008,11,영어,어휘,1
1008,12,영어,독해,1
1008,13,영어,쓰기,0
1008,14,사회,역사,0
1008,15,사회,경제,0
1008,16,수학,소수,0
1008,17,수학,분수,1
1008,18,영어,문법,0
1008,19,수학,방정식,1
1008,20,과학,물리,1
1009,1,과학,동물,0
1009,2,사회,정치,1
1009,3,과학,지구,1
1009,4,과학,식물,1
1009,5,수학,측정,1
1009,6,영어,듣기,0
1009,7,사회,문화,0
1009,8,수학,도형,0
1009,9,사회,지리,0
1009,10,과학,화학,1
1009,11,영어,어휘,1
1009,12,영어,독해,1
1009,13,영어,쓰기,0
1009,14,사회,역사,0
1009,15,사회,경제,1
1009,16,수학,소수,0
1009,17,수학,분수,1
1009,18,영어,문법,1
1009,19,수학,방정식,0
1009,20,과학,물리,0
1010,1,과학,동물,1
1010,2,사회,정치,1
1010,3,과학,지구,0
1010,4,과학,식물,1
1010,5,수학,측정,1
1010,6,영어,듣기,1
1010,7,사회,문화,0
1010,8,수학,도형,0
1010,9,사회,지리,1
1010,10,과학,화학,1
1010,11,영어,어휘,0
1010,12,영어,독해,1
1010,13,영어,쓰기,0
1010,14,사회,역사,1
1010,15,사회,경제,0
1010,16,수학,소수,0
1010,17,수학,분수,1
1010,18,영어,문법,1
1010,19,수학,방정식,1
1010,20,과학,물리,0
1011,1,과학,동물,0
1011,2,사회,정치,1
1011,3,과학,지구,1
1011,4,과학,식물,0
1011,5,수학,측정,0
1011,6,영어,듣기,0
1011,7,사회,문화,1
1011,8,수학,도형,0
1011,9,사회,지리,0
1011,10,과학,화학,0
1011,11,영어,어휘,0
1011,12,영어,독해,1
1011,13,영어,쓰기,0
1011,14,사회,역사,0
1011,15,사회,경제,0
1011,16,수학,소수,1
1011,17,수학,분수,0
1011,18,영어,문법,1
1011,19,수학,방정식,1
1011,20,과학,물리,1
1012,1,과학,동물,0
1012,2,사회,정치,0
1012,3,과학,지구,1
1012,4,과학,식물,0
1012,5,수학,측정,0
1012,6,영어,듣기,1
1012,7,사회,문화,0
1012,8,수학,도형,0
1012,9,사회,지리,0
1012,10,과학,화학,0
1012,11,영어,어휘,0
1012,12,영어,독해,1
1012,13,영어,쓰기,1
1012,14,사회,역사,1
1012,15,사회,경제,1
1012,16,수학,소수,0
1012,17,수학,분수,1
1012,18,영어,문법,1
1012,19,수학,방정식,0
1012,20,과학,물리,1
1013,1,과학,동물,0
1013,2,사회,정치,0
1013,3,과학,지구,1
1013,4,과학,식물,0
