date,category,item,price
2023-01-03,커피,라떼,46123
2023-02-05,커피,카푸치노,77519
2023-03-20,스무디,망고스무디,132181
2023-04-01,주스,오렌지주스,32901
2023-05-02,커피,카푸치노,84496
2023-06-15,스무디,망고스무디,33618
2023-07-01,주스,사과주스,86333
2023-08-05,스무디,망고스무디,57418
2023-09-25,스무디,딸기스무디,197790
2023-10-20,주스,오렌지주스,130944
2023-11-28,스무디,망고스무디,29498
2023-12-23,스무디,망고스무디,80128
2024-01-03,주스,사과주스,76930
2024-02-04,커피,카푸치노,94809
2024-03-24,주스,오렌지주스,110112
2024-04-11,스무디,망고스무디,100800
2024-05-17,주스,오렌지주스,71604
2024-06-23,커피,카푸치노,124938
2024-07-22,주스,오렌지주스,57162
2024-08-22,주스,오렌지주스,171892
2024-09-19,스무디,딸기스무디,34416
2024-10-12,커피,라떼,148470
2024-11-09,스무디,망고스무디,116864
2024-12-22,커피,아메리카노,150496
2023-09-03,커피,아메리카노,68994
2023-11-12,커피,라떼,215791
2024-12-25,주스,오렌지주스,123849
2023-09-20,주스,사과주스,92416
2023-05-10,주스,사과주스,166500
2023-03-09,커피,라떼,215163
2023-10-01,주스,오렌지주스,268240
2024-04-25,커피,라떼,37494
2023-09-04,주스,오렌지주스,218076
2024-08-18,스무디,딸기스무디,203908
2024-10-30,주스,사과주스,227846
2024-01-02,커피,아메리카노,87500
2023-01-02,커피,카푸치노,94078
2023-04-23,주스,오렌지주스,200608
2023-06-25,커피,라떼,87720
2023-08-17,스무디,딸기스무디,63570
2023-04-12,주스,사과주스,95880
2023-11-02,주스,오렌지주스,36630
2023-09-15,주스,사과주스,70644
2023-07-19,스무디,딸기스무디,24216
2024-07-07,스무디,망고스무디,46474
2023-01-22,주스,사과주스,53610
2024-09-03,스무디,망고스무디,113672
2023-11-22,주스,오렌지주스,89271
2024-08-10,커피,라떼,83265
2023-03-28,주스,오렌지주스,74602
2023-07-19,스무디,망고스무디,55330
2023-11-16,커피,라떼,152074
2024-11-19,커피,라떼,57600
2023-01-29,스무디,망고스무디,42945
2023-03-05,스무디,딸기스무디,125780
2024-09-17,커피,라떼,154882
2024-09-21,스무디,딸기스무디,44175
2023-09-25,스무디,딸기스무디,193347
2023-10-14,스무디,딸기스무디,128538
2024-01-12,스무디,망고스무디,58170
2024-10-24,스무디,망고스무디,89522
2023-09-05,스무디,망고스무디,86624
2024-01-26,주스,오렌지주스,143172
2023-02-06,커피,라떼,192204
2023-06-01,스무디,딸기스무디,79860
2023-07-03,커피,카푸치노,92376
2024-01-16,커피,아메리카노,49742
2023-09-10,주스,사과주스,110725
2024-04-22,커피,아메리카노,37840
2024-12-01,커피,라떼,155770
2024-01-23,커피,아메리카노,181896
2024-11-04,주스,오렌지주스,85463
2024-02-15,주스,사과주스,71082
2024-01-31,커피,카푸치노,133385
2024-12-04,커피,라떼,70863
2023-02-21,커피,아메리카노,47278
2023-07-06,주스,오렌지주스,129888
2023-07-15,스무디,딸기스무디,111965
2024-03-25,커피,아메리카노,118468
2023-08-16,주스,오렌지주스,54900
2024-03-16,커피,아메리카노,108126
2023-01-09,스무디,딸기스무디,182940
2023-06-02,스무디,망고스무디,74866
2023-08-29,커피,카푸치노,51456
2024-01-14,스무디,망고스무디,69330
2023-02-27,스무디,딸기스무디,82896
2024-05-14,커피,아메리카노,46725
2023-07-11,주스,오렌지주스,40836
2023-10-26,주스,사과주스,60872
2023-02-18,커피,라떼,230888
2023-12-09,스무디,망고스무디,202254
2023-11-15,스무디,망고스무디,145425
2023-04-06,커피,아메리카노,72468
2024-05-14,커피,라떼,182350
2024-05-15,스무디,망고스무디,207366
2024-08-13,스무디,망고스무디,79744
2023-06-07,스무디,딸기스무디,187488
2024-04-07,주스,사과주스,112346
2024-04-09,스무디,망고스무디,54028
2024-10-10,스무디,딸기스무디,98797
2023-06-07,주스,오렌지주스,87386
2023-05-29,커피,라떼,34289
2024-11-03,주스,사과주스,151786
2023-10-06,주스,오렌지주스,186665
2023-09-03,커피,아메리카노,110920
2023-07-09,커피,카푸치노,194122
2024-08-04,커피,카푸치노,197664
2023-10-12,커피,카푸치노,89200
2023-12-08,커피,라떼,75038
2023-01-14,커피,라떼,127512
2024-09-16,커피,아메리카노,56604
2023-07-13,커피,라떼,165004
2024-01-12,커피,아메리카노,135314
2024-05-04,스무디,망고스무디,82325
2023-07-20,커피,카푸치노,90398
2024-05-06,커피,라떼,85610
2024-09-16,커피,라떼,105450
2024-08-11,주스,오렌지주스,125136
2023-01-27,주스,사과주스,209320
2024-11-15,주스,오렌지주스,138353
2023-07-27,커피,라떼,68894
2023-09-03,스무디,망고스무디,170586
2023-06-15,스무디,딸기스무디,133354
2023-07-10,스무디,딸기스무디,59475
2023-08-16,스무디,망고스무디,67176
2024-03-17,주스,오렌지주스,140766
2024-04-11,스무디,딸기스무디,70992
2023-09-20,커피,카푸치노,119884
2024-12-24,스무디,딸기스무디,82368
2023-09-01,주스,오렌지주스,196640
2024-07-18,주스,오렌지주스,80172
2024-01-01,커피,아메리카노,141174
2023-09-25,스무디,망고스무디,103493
2024-12-30,커피,라떼,252155
2024-03-31,커피,카푸치노,162325
2024-12-12,커피,아메리카노,109260
2024-08-07,주스,사과주스,127364
2023-02-09,커피,아메리카노,125193
2024-04-01,스무디,망고스무디,99417
2024-09-24,스무디,망고스무디,153860
2023-03-07,스무디,딸기스무디,87232
2023-03-07,주스,사과주스,144050
2024-10-18,커피,아메리카노,29942
2024-06-07,커피,라떼,42040
2024-06-23,스무디,망고스무디,102780
2024-07-09,커피,라떼,214600
2024-06-23,스무디,딸기스무디,100416
2024-04-11,커피,아메리카노,127704
2023-06-26,주스,사과주스,100000
2023-12-18,커피,카푸치노,131000
2024-02-13,주스,오렌지주스,123004
2023-03-04,주스,오렌지주스,68460
2023-01-09,주스,오렌지주스,56064
2023-07-26,주스,사과주스,234000
2023-12-03,주스,오렌지주스,98301
2024-07-17,스무디,망고스무디,106624
2023-05-05,커피,아메리카노,76942
2023-07-31,주스,오렌지주스,62160
2023-09-24,주스,사과주스,71472
2024-07-25,주스,오렌지주스,91350
2023-12-21,주스,사과주스,80736
2023-10-16,커피,라떼,23350
2023-06-08,스무디,망고스무디,93786
2024-12-25,스무디,망고스무디,78240
2024-08-14,스무디,망고스무디,44052
