attrition,age,income,overtime
0,51,9270,0
0,23,9603,1
1,49,2860,2
0,56,7390,1
0,42,7226,2
0,58,7191,1
0,34,5772,0
0,48,5092,0
0,55,7734,1
0,32,8265,2
0,51,2466,0
0,26,7334,0
0,41,6426,0
0,47,7578,1
0,21,8231,1
0,25,5444,2
0,47,5171,2
0,47,4919,2
0,39,9831,1
1,49,2130,1
0,30,3685,2
0,47,9476,2
0,44,2769,1
0,58,4391,2
0,52,7611,0
0,20,9581,1
0,46,8949,2
0,32,4433,1
0,22,7311,0
0,58,7051,1
0,25,8420,1
0,27,3184,1
0,46,6555,1
0,28,5385,0
0,56,6117,1
0,52,8396,1
0,43,6843,2
0,34,4904,1
0,51,9728,2
0,51,2474,0
0,43,3082,0
0,31,4558,0
0,58,9849,0
0,21,4047,2
0,22,9643,1
0,56,4747,0
0,36,2975,1
0,21,3806,2
1,21,2189,2
0,47,9101,2
0,42,4734,0
0,56,5005,1
0,51,6658,1
0,52,3899,1
0,20,9734,2
0,38,3267,0
0,21,8975,2
0,45,3528,2
0,51,5202,1
0,25,5556,2
0,51,5890,1
0,23,2646,0
0,30,8164,1
0,36,4888,0
0,57,8310,1
0,43,7393,2
0,24,4435,2
0,53,2600,0
0,25,4363,0
0,41,4061,0
1,30,2241,1
0,35,4041,1
0,52,4824,0
0,28,9513,2
0,25,4612,1
0,35,9041,1
0,48,3363,1
0,22,8235,0
0,39,7486,0
0,55,9099,0
0,38,3478,0
0,45,9595,0
0,22,4556,2
0,38,2775,2
0,39,6014,0
0,51,2034,1
0,26,8349,0
0,52,5152,2
0,59,3955,2
0,58,3585,1
0,37,5943,2
0,59,9555,0
0,20,5073,1
0,30,3021,0
0,47,5461,0
0,44,4613,1
0,42,7225,0
0,50,5843,2
0,49,9989,0
0,54,3500,1
0,26,6798,1
0,35,8545,1
0,45,8873,0
0,21,7675,1
1,20,2161,1
0,31,6297,0
0,24,3981,2
0,56,2995,0
0,51,8413,1
0,28,6911,1
0,54,5342,0
0,38,6551,2
0,35,9629,1
0,22,5798,1
0,39,3275,1
0,43,3016,0
0,52,9869,1
0,43,8439,2
0,30,9892,1
0,27,8863,1
0,55,9916,2
0,57,2337,1
0,59,2878,0
0,39,3076,0
0,54,6887,0
0,44,5993,2
0,54,8360,1
0,44,6859,0
0,48,8331,2
1,37,2379,1
1,37,2492,2
0,21,9208,0
0,54,7276,0
0,35,4062,0
0,55,5884,2
1,52,2064,2
0,23,4568,0
0,52,7463,2
0,33,7248,0
0,40,4027,0
0,39,4695,1
0,27,3495,2
0,26,9230,0
0,22,7258,0
0,36,7618,2
0,52,8736,1
1,31,2391,1
0,41,7794,0
0,41,6514,2
0,49,8432,1
0,57,6474,2
0,57,7892,2
0,27,5561,0
0,46,4278,1
0,46,9161,0
0,53,8184,1
0,40,5099,1
0,49,8278,1
1,52,2200,1
0,47,7959,1
0,52,6875,2
0,24,9073,0
0,38,5104,2
0,23,9215,1
0,54,6598,0
0,36,4454,1
0,47,5645,0
0,49,7847,2
0,48,2804,0
0,25,8242,0
0,54,4731,0
0,56,7991,0
0,43,4773,0
0,48,3570,1
0,50,7056,0
0,54,9906,0
0,52,8756,2
0,40,7581,0
0,51,4690,2
0,42,5840,1
0,52,3028,0
0,22,9385,2
0,37,2502,2
0,44,8910,1
0,50,6493,0
0,22,2870,0
0,59,8938,2
0,43,6488,0
0,51,2206,2
0,41,7134,0
0,42,7977,2
0,21,9721,0
0,46,9035,1
0,21,3484,0
0,45,9858,0
0,36,9742,1
0,59,2863,0
0,52,4790,1
0,28,9408,0
0,58,2563,2
