연도,국가코드,국가,배출량
2001,12,미국,14500.0
2001,36,중국,4800.0
2001,44,인도,4300.0
2001,58,러시아,3900.0
2001,72,일본,3100.0
2001,83,독일,2700.0
2002,12,미국,14420.0
2002,36,중국,5308.8
2002,44,인도,4430.0
2002,58,러시아,3935.0
2002,72,일본,3088.0
2002,83,독일,2690.0
2003,12,미국,14340.0
2003,36,중국,5871.53
2003,44,인도,4560.0
2003,58,러시아,3970.0
2003,72,일본,3076.0
2003,83,독일,2680.0
2004,12,미국,14260.0
2004,36,중국,6493.92
2004,44,인도,4690.0
2004,58,러시아,4005.0
2004,72,일본,3064.0
2004,83,독일,2670.0
2005,12,미국,14180.0
2005,36,중국,7182.27
2005,44,인도,4820.0
2005,58,러시아,4040.0
2005,72,일본,3052.0
2005,83,독일,2660.0
2006,12,미국,14100.0
2006,36,중국,7943.59
2006,44,인도,4950.0
2006,58,러시아,4075.0
2006,72,일본,3040.0
2006,83,독일,2650.0
2007,12,미국,14020.0
2007,36,중국,8785.61
2007,44,인도,5080.0
2007,58,러시아,4110.0
2007,72,일본,3028.0
2007,83,독일,2640.0
2008,12,미국,13940.0
2008,36,중국,9716.89
2008,44,인도,5210.0
2008,58,러시아,4145.0
2008,72,일본,3016.0
2008,83,독일,2630.0
2009,12,미국,13860.0
2009,36,중국,10746.88
2009,44,인도,5340.0
2009,58,러시아,4180.0
2009,72,일본,3004.0
2009,83,독일,2620.0
2010,12,미국,13780.0
2010,36,중국,11886.05
2010,44,인도,5470.0
2010,58,러시아,4215.0
2010,72,일본,2992.0
2010,83,독일,2610.0
2011,12,미국,12000.0
2011,36,중국,13145.97
2011,44,인도,5600.0
2011,58,러시아,4250.0
2011,72,일본,2980.0
2011,83,독일,2600.0
2012,12,미국,11880.0
2012,36,중국,14539.44
2012,44,인도,5730.0
2012,58,러시아,4285.0
2012,72,일본,2968.0
2012,83,독일,2590.0
2013,12,미국,11760.0
2013,36,중국,16080.62
2013,44,인도,5860.0
2013,58,러시아,4320.0
2013,72,일본,2956.0
2013,83,독일,2580.0
2014,12,미국,11640.0
2014,36,중국,17785.16
2014,44,인도,5990.0
2014,58,러시아,4355.0
2014,72,일본,2944.0
2014,83,독일,2570.0
2015,12,미국,11520.0
2015,36,중국,19670.39
2015,44,인도,6120.0
2015,58,러시아,4390.0
2015,72,일본,2932.0
2015,83,독일,2560.0
2016,12,미국,11400.0
2016,36,중국,21755.45
2016,44,인도,6250.0
2016,58,러시아,4425.0
2016,72,일본,2920.0
2016,83,독일,2550.0
2017,12,미국,11280.0
2017,36,중국,24061.53
2017,44,인도,6380.0
2017,58,러시아,4460.0
2017,72,일본,2908.0
2017,83,독일,2540.0
2018,12,미국,11160.0
2018,36,중국,26612.05
2018,44,인도,6510.0
2018,58,러시아,4495.0
2018,72,일본,2896.0
2018,83,독일,2530.0
2019,12,미국,11040.0
2019,36,중국,29432.93
2019,44,인도,6640.0
2019,58,러시아,4530.0
2019,72,일본,2884.0
2019,83,독일,2520.0
2020,12,미국,10920.0
2020,36,중국,32552.82
2020,44,인도,6770.0
2020,58,러시아,4565.0
2020,72,일본,2872.0
2020,83,독일,2510.0
2021,12,미국,10800.0
2021,36,중국,36003.42
2021,44,인도,6900.0
2021,58,러시아,4600.0
2021,72,일본,2860.0
2021,83,독일,2500.0
