측정ID,실내온도,조도,소음,이산화탄소,습도
R0001,27.171,311.1,48.0,717.9,34.8
R0002,23.26,,39.8,607.1,53.4
R0003,25.919,364.3,38.7,673.9,58.6
R0004,25.782,528.8,50.5,593.2,39.7
R0005,,623.9,44.0,802.9,41.4
R0006,25.931,423.5,47.7,588.3,33.9
R0007,,607.3,51.2,545.3,48.0
R0008,24.724,635.3,55.5,586.5,51.0
R0009,24.392,,50.1,621.8,37.8
R0010,26.57,626.1,45.7,630.6,51.2
R0011,26.885,,47.8,736.1,32.5
R0012,,460.1,53.0,799.1,41.6
R0013,25.235,614.8,49.7,735.6,48.0
R0014,23.911,540.3,51.4,574.4,
R0015,24.395,496.9,43.8,641.1,33.2
R0016,23.964,630.7,47.2,521.5,39.3
R0017,24.933,,58.1,668.6,43.1
R0018,24.643,711.4,50.2,727.5,44.3
R0019,26.103,406.4,40.5,550.4,47.0
R0020,25.8,512.6,48.9,765.8,40.1
R0021,23.858,454.4,42.6,745.7,54.5
R0022,25.938,406.8,49.9,763.4,40.0
R0023,25.067,641.7,54.4,,51.7
R0024,25.256,537.4,43.3,,23.7
R0025,27.342,475.0,44.3,717.4,43.2
R0026,25.129,591.8,48.5,770.7,
R0027,26.703,,54.9,637.1,47.6
R0028,26.428,580.8,40.2,804.0,42.1
R0029,26.055,604.5,50.7,726.8,42.6
R0030,24.067,467.1,48.7,565.8,40.3
R0031,25.357,429.2,44.9,643.4,37.2
R0032,,618.4,53.7,636.1,47.0
R0033,23.023,443.3,39.9,712.1,46.4
R0034,,625.4,54.0,591.9,36.1
R0035,28.182,416.2,49.4,838.7,55.2
R0036,27.066,662.0,43.8,489.1,52.6
R0037,,411.4,52.0,682.7,37.7
R0038,,441.0,45.5,533.6,48.7
R0039,23.941,477.9,48.3,,51.2
R0040,25.496,467.3,41.6,656.4,47.0
R0041,25.088,539.8,43.8,656.6,49.5
R0042,23.673,450.7,50.0,,31.1
R0043,,581.3,40.9,650.4,55.6
R0044,,647.5,42.8,666.5,47.9
R0045,24.705,578.1,45.0,604.8,40.8
R0046,25.295,601.4,50.2,696.6,45.0
R0047,24.667,701.1,,585.7,44.5
R0048,25.516,595.1,44.8,498.8,48.6
R0049,26.642,579.4,47.5,776.7,41.4
R0050,25.872,576.9,55.0,709.4,43.1
R0051,25.035,,43.0,629.6,55.5
R0052,22.887,753.1,54.2,640.8,44.5
R0053,24.673,462.1,,526.5,40.0
R0054,24.976,440.1,50.8,,47.4
R0055,24.321,482.5,42.0,671.8,
R0056,24.344,,52.3,578.8,55.7
R0057,23.253,413.2,54.8,693.4,38.0
R0058,24.436,648.6,44.9,650.0,33.9
R0059,22.972,371.3,37.2,687.0,37.2
R0060,24.992,469.2,44.8,649.9,49.5
R0061,,523.1,45.1,638.9,46.8
R0062,23.979,435.4,41.2,576.4,43.5
R0063,,629.1,55.8,659.3,49.7
R0064,24.377,,52.2,698.9,40.7
R0065,24.63,583.1,,689.1,48.6
R0066,27.528,430.4,35.0,714.7,56.7
R0067,24.866,539.1,48.4,693.6,43.8
R0068,24.546,348.2,46.4,664.6,50.1
R0069,23.853,488.6,,603.1,46.9
R0070,,506.6,44.6,670.4,55.5
R0071,24.208,293.5,,766.1,44.1
R0072,,550.7,47.7,717.6,54.0
R0073,23.777,473.6,55.6,651.5,20.5
R0074,25.797,,37.6,746.7,39.4
R0075,27.893,421.0,50.3,631.2,51.5
R0076,24.765,662.7,47.4,630.9,58.7
R0077,24.428,530.2,47.8,644.2,43.1
R0078,23.257,501.7,43.1,,40.5
R0079,24.274,,45.3,701.0,34.5
R0080,24.282,,44.4,726.2,43.1
R0081,26.926,589.1,,651.3,48.7
R0082,23.547,,41.4,641.5,38.3
R0083,24.914,645.6,45.4,557.8,43.7
R0084,,357.4,47.5,617.7,31.1
R0085,25.872,741.2,41.6,586.8,
R0086,,596.1,53.3,580.4,54.4
R0087,24.221,618.7,45.9,656.5,38.0
R0088,26.221,483.8,45.7,654.2,58.1
R0089,23.486,,40.5,673.7,39.1
R0090,25.445,508.6,45.4,,30.8
R0091,25.651,529.4,47.2,724.2,41.3
R0092,,406.7,45.2,592.9,47.6
R0093,25.702,497.7,32.8,642.3,42.5
R0094,24.109,,49.7,626.3,33.6
R0095,,415.8,46.5,561.5,57.2
R0096,24.683,390.2,62.0,581.8,
