거래코드,고객ID,상품분류,판매단가,수량
T000001,C113582,패션,85.91,1
T000002,C113582,식품,76.16,4
T000003,C774205,식품,79.14,4
C000004,C271005,생활,91.9,2
T000005,C774205,가전,66.17,3
T000006,C318924,생활,85.43,2
T000007,C774205,가전,9.27,1
C000008,C908331,패션,29.44,5
C000009,C774205,패션,85.87,5
C000010,C271005,패션,77.21,5
T000011,C908331,식품,91.49,4
T000012,C318924,식품,15.68,3
T000013,C318924,식품,92.37,2
T000014,C271005,생활,23.84,1
T000015,C774205,생활,24.2,2
C000016,C318924,가전,69.0,5
T000017,C271005,생활,39.49,5
T000018,C271005,패션,43.81,4
T000019,C908331,생활,78.35,2
T000020,C318924,가전,67.0,2
T000021,C271005,가전,62.76,2
C000022,C113582,가전,76.5,1
T000023,C271005,가전,82.68,4
T000024,C318924,패션,32.78,3
T000025,C908331,생활,85.41,5
T000026,C113582,가전,57.1,3
T000027,C908331,식품,35.23,3
C000028,C774205,패션,94.47,1
T000029,C908331,식품,12.01,3
T000030,C318924,패션,35.48,1
T000031,C318924,식품,75.84,3
C000032,C908331,가전,54.7,5
T000033,C271005,패션,67.68,2
T000034,C113582,생활,8.56,2
T000035,C271005,식품,8.68,1
T000036,C908331,가전,36.35,4
T000037,C774205,생활,54.74,4
T000038,C113582,가전,94.31,1
T000039,C318924,식품,83.93,4
T000040,C113582,가전,13.61,2
T000041,C774205,가전,11.95,2
T000042,C113582,가전,12.07,4
T000043,C271005,패션,10.91,1
C000044,C113582,패션,70.66,4
T000045,C113582,가전,43.54,2
T000046,C271005,생활,37.96,1
T000047,C908331,패션,10.69,1
T000048,C774205,가전,32.9,4
T000049,C908331,가전,74.37,5
T000050,C113582,식품,72.01,5
T000051,C774205,식품,52.76,3
T000052,C318924,패션,18.53,1
T000053,C271005,패션,75.0,2
T000054,C318924,패션,11.48,3
T000055,C318924,패션,22.43,2
C000056,C271005,패션,84.69,5
T000057,C271005,식품,37.28,2
T000058,C908331,가전,91.45,1
C000059,C774205,생활,65.92,4
T000060,C318924,식품,85.32,4
T000061,C271005,식품,41.52,1
C000062,C113582,가전,31.69,1
T000063,C774205,가전,77.66,4
T000064,C271005,식품,48.2,1
T000065,C908331,가전,38.52,4
T000066,C908331,생활,68.93,4
T000067,C113582,패션,62.5,4
C000068,C318924,가전,87.39,5
T000069,C774205,가전,83.71,3
T000070,C113582,식품,19.42,3
T000071,C271005,생활,15.48,2
T000072,C774205,생활,22.45,4
T000073,C271005,생활,69.62,3
T000074,C908331,생활,86.2,5
C000075,C113582,식품,12.96,2
T000076,C774205,생활,89.12,5
T000077,C318924,패션,37.15,1
T000078,C774205,생활,12.99,3
T000079,C774205,생활,11.22,2
C000080,C774205,패션,33.38,5
T000081,C908331,패션,31.34,4
T000082,C908331,식품,20.52,4
T000083,C113582,식품,90.73,3
T000084,C271005,패션,11.46,4
T000085,C908331,패션,13.3,1
C000086,C774205,패션,16.07,1
T000087,C271005,패션,23.84,1
T000088,C908331,패션,93.79,2
T000089,C908331,식품,67.88,1
C000090,C113582,식품,62.24,3
C000091,C774205,패션,27.26,4
T000092,C774205,식품,35.39,1
C000093,C318924,생활,53.11,2
T000094,C271005,식품,64.24,5
C000095,C908331,생활,30.81,3
T000096,C318924,생활,30.24,2
T000097,C318924,식품,30.99,1
C000098,C318924,패션,15.07,4
C000099,C318924,패션,81.71,1
T000100,C318924,가전,29.44,3
T000101,C774205,생활,84.63,2
T000102,C113582,생활,58.4,3
C000103,C318924,식품,63.6,1
C000104,C908331,가전,46.51,5
T000105,C774205,생활,49.54,2
T000106,C271005,식품,78.43,4
T000107,C774205,패션,13.07,2
T000108,C774205,생활,65.69,3
T000109,C113582,식품,88.76,2
T000110,C113582,생활,82.78,5
T000111,C908331,생활,85.88,3
C000112,C908331,패션,73.31,5
T000113,C908331,가전,72.39,5
T000114,C113582,생활,68.73,1
C000115,C318924,식품,60.32,2
T000116,C271005,패션,57.27,4
T000117,C774205,패션,53.24,1
C000118,C908331,가전,50.52,3
T000119,C774205,생활,56.14,5
T000120,C271005,가전,73.05,3
C900001,C542426,생활,1500.23,1
C900002,C542426,가전,1307.5,1
T900003,C542426,식품,80.2,3
