방문자ID,그룹,방문횟수,웹페이지방문시간,광고노출수,구매여부,구매금액
V0001,B,7,52.2,9,0,2768.5
V0002,B,6,54.0,9,1,4592.0
V0003,A,7,40.5,5,0,3406.2
V0004,A,4,31.2,10,0,2399.0
V0005,B,3,27.3,9,0,2253.2
V0006,A,6,41.8,6,1,6397.7
V0007,A,5,31.4,6,0,3141.8
V0008,A,8,49.9,9,0,2581.5
V0009,B,8,48.1,10,1,3807.4
V0010,B,4,25.7,9,0,2448.7
V0011,B,6,36.9,7,0,1615.1
V0012,B,7,55.2,4,0,3434.9
V0013,B,8,41.1,11,1,4917.9
V0014,A,7,27.5,9,0,2530.6
V0015,A,3,29.7,8,0,2818.7
V0016,B,6,31.6,7,0,2822.0
V0017,B,6,51.3,8,1,4124.4
V0018,B,5,46.6,11,0,2423.6
V0019,A,7,44.3,6,1,5440.5
V0020,A,7,41.5,6,0,1775.5
V0021,A,7,49.8,11,0,2718.3
V0022,B,7,56.7,15,1,6397.6
V0023,B,8,46.6,9,1,4953.8
V0024,B,4,35.1,7,0,2172.1
V0025,B,7,23.9,3,0,2440.3
V0026,B,7,35.1,5,0,2192.3
V0027,B,5,36.2,5,0,1111.0
V0028,B,5,24.6,5,0,1904.2
V0029,A,4,32.8,3,0,1669.1
V0030,A,6,54.3,7,1,3999.5
V0031,A,6,23.4,9,0,1388.1
V0032,B,7,50.1,12,1,4745.5
V0033,A,4,27.1,7,0,1863.8
V0034,B,4,47.1,10,1,5368.6
V0035,B,4,36.9,3,0,3057.9
V0036,A,6,30.9,9,1,4337.7
V0037,B,6,40.1,7,0,2586.3
V0038,A,6,46.3,6,0,3694.0
V0039,B,5,29.5,2,0,599.4
V0040,B,7,30.3,12,0,2064.6
V0041,B,2,34.6,10,0,2042.8
V0042,B,6,65.9,4,1,5521.4
V0043,B,6,44.7,7,1,5212.7
V0044,A,8,63.7,4,0,2539.2
V0045,A,5,34.9,6,1,3615.7
V0046,A,6,45.9,8,1,4247.9
V0047,A,6,42.6,7,0,1479.1
V0048,B,7,38.3,15,0,2142.9
V0049,B,5,30.6,10,0,2401.1
V0050,B,5,35.2,6,0,1679.8
V0051,B,9,35.3,5,1,4807.2
V0052,B,6,52.0,6,1,5452.4
V0053,A,9,46.3,12,0,2504.6
V0054,B,6,41.6,10,0,2838.6
V0055,A,7,38.5,14,0,2877.0
V0056,B,4,61.6,9,0,2698.8
V0057,A,3,16.0,4,0,1848.9
V0058,B,3,34.4,6,0,2148.4
V0059,B,4,38.4,4,0,2931.7
V0060,B,3,56.0,5,0,2704.3
V0061,B,6,28.6,6,0,1595.0
