도서ID,제목,출판연도,대출상태,누적대출횟수
B00519,PYTHON 자동화 프로젝트 2077,2026,대출중,79
B00872,인공지능 개론 181,2022,대출가능,13
B00798,자바 프로그래밍 기초 107,2024,대출가능,16
B00275,python 기초 프로그래밍 1133,2019,대출가능,84
B00326,데이터 과학 with Python 1184,2011,대출가능,41
B00828,R을 활용한 통계 분석 137,2025,대출가능,81
B00767,빅데이터 분석 실무 76,2024,대출가능,72
B00833,데이터 시각화 142,2024,대출가능,36
B00932,R을 활용한 통계 분석 241,2021,대출가능,84
B00369,PYTHON 자동화 프로젝트 1227,2015,대출가능,95
B00563,Python 머신러닝 입문 2121,2024,대출중,71
B00382,파이썬 데이터 분석 실전 1240,2015,대출가능,72
B00508,Python 머신러닝 입문 2066,2021,대출중,66
B00507,파이썬 데이터 분석 실전 2065,2026,대출중,59
B00004,python 기초 프로그래밍 3,2024,대출가능,49
B00843,알고리즘 문제 해결 152,2022,대출가능,97
B00137,Python 머신러닝 입문 136,2025,대출가능,57
B00939,알고리즘 문제 해결 248,2023,대출가능,20
B00855,빅데이터 분석 실무 164,2024,대출가능,90
B00191,데이터 과학 with Python 1049,2010,대출가능,35
B00924,R을 활용한 통계 분석 233,2022,대출가능,98
B00395,python 기초 프로그래밍 1253,2015,대출가능,89
B00123,PYTHON 자동화 프로젝트 122,2025,대출가능,99
B00316,데이터 과학 with Python 1174,2019,대출가능,17
B00321,데이터 과학 with Python 1179,2017,대출가능,7
B00110,데이터 과학 with Python 109,2026,대출가능,60
B00308,Python 머신러닝 입문 1166,2017,대출가능,74
B00489,PYTHON 자동화 프로젝트 2047,2024,대출중,77
B00425,python 기초 프로그래밍 1283,2013,대출가능,80
B00745,데이터 시각화 54,2024,대출가능,92
B00322,파이썬 데이터 분석 실전 1180,2019,대출가능,13
B00998,자바 프로그래밍 기초 307,2020,대출가능,60
B00669,PYTHON 자동화 프로젝트 2227,2025,대출중,89
B00312,파이썬 데이터 분석 실전 1170,2017,대출가능,30
B00621,데이터 과학 with Python 2179,2026,대출중,17
B00793,데이터 시각화 102,2024,대출가능,31
B00080,데이터 과학 with Python 79,2026,대출가능,69
B00229,PYTHON 자동화 프로젝트 1087,2010,대출가능,19
B00658,Python 머신러닝 입문 2216,2021,대출중,71
B00102,Python 머신러닝 입문 101,2026,대출가능,6
B00599,PYTHON 자동화 프로젝트 2157,2020,대출중,33
B00919,빅데이터 분석 실무 228,2022,대출가능,85
B00169,PYTHON 자동화 프로젝트 1027,2013,대출가능,49
B00496,데이터 과학 with Python 2054,2023,대출중,55
B00735,빅데이터 분석 실무 44,2021,대출가능,46
B00597,파이썬 데이터 분석 실전 2155,2026,대출중,99
B00208,Python 머신러닝 입문 1066,2018,대출가능,72
B00079,python 기초 프로그래밍 78,2020,대출가능,98
B00051,파이썬 데이터 분석 실전 50,2023,대출가능,88
B00967,빅데이터 분석 실무 276,2025,대출가능,33
B00162,파이썬 데이터 분석 실전 1020,2011,대출가능,4
B00823,빅데이터 분석 실무 132,2023,대출가능,10
B00938,클라우드 컴퓨팅 247,2021,대출가능,58
B00573,Python 머신러닝 입문 2131,2026,대출중,20
B00245,python 기초 프로그래밍 1103,2011,대출가능,53
B00103,PYTHON 자동화 프로젝트 102,2021,대출가능,16
B00608,Python 머신러닝 입문 2166,2020,대출중,71
B00388,Python 머신러닝 입문 1246,2016,대출가능,68
B00325,python 기초 프로그래밍 1183,2011,대출가능,47
