기록ID,지역,평일배달건수,주말배달건수
서울-001,서울,161.2,108.0
서울-002,서울,154.7,
서울-003,서울,159.1,128.6
서울-004,서울,194.1,117.1
서울-005,서울,164.7,120.8
서울-006,서울,195.8,93.4
서울-007,서울,172.2,109.3
서울-008,서울,190.3,84.4
서울-009,서울,150.8,101.7
서울-010,서울,166.6,105.0
서울-011,서울,174.1,120.5
서울-012,서울,186.0,123.5
서울-013,서울,109.4,128.3
서울-014,서울,184.5,118.8
서울-015,서울,142.8,86.0
서울-016,서울,173.8,117.4
서울-017,서울,160.9,113.5
서울-018,서울,196.0,
서울-019,서울,121.0,110.8
서울-020,서울,,77.3
서울-021,서울,184.1,115.1
서울-022,서울,178.1,112.3
서울-023,서울,140.3,119.0
서울-024,서울,,116.0
서울-025,서울,148.2,99.4
서울-026,서울,180.5,125.3
서울-027,서울,177.8,120.8
서울-028,서울,164.5,131.6
서울-029,서울,176.9,127.2
서울-030,서울,164.5,102.3
서울-031,서울,,92.6
서울-032,서울,178.0,
서울-033,서울,153.2,123.9
서울-034,서울,149.0,
서울-035,서울,154.8,100.9
서울-036,서울,179.6,99.5
서울-037,서울,164.2,114.3
서울-038,서울,164.7,80.2
서울-039,서울,165.0,110.0
서울-040,서울,,101.2
서울-041,서울,179.2,132.8
서울-042,서울,153.8,120.8
서울-043,서울,171.0,110.1
서울-044,서울,173.1,123.7
서울-045,서울,186.6,130.8
서울-046,서울,134.1,116.3
서울-047,서울,187.2,125.0
서울-048,서울,139.6,122.8
서울-049,서울,165.6,130.5
서울-050,서울,144.6,116.5
서울-051,서울,149.1,
서울-052,서울,158.5,123.5
서울-053,서울,166.3,91.8
서울-054,서울,186.3,115.2
서울-055,서울,155.2,
서울-056,서울,156.3,114.1
서울-057,서울,170.2,101.5
서울-058,서울,183.7,98.1
서울-059,서울,176.7,112.9
서울-060,서울,165.3,113.9
서울-061,서울,165.7,102.0
서울-062,서울,147.5,116.5
서울-063,서울,,109.4
서울-064,서울,184.6,107.1
서울-065,서울,,124.6
서울-066,서울,175.9,134.2
서울-067,서울,137.2,115.5
서울-068,서울,158.5,101.2
서울-069,서울,156.7,114.4
서울-070,서울,170.0,136.7
서울-071,서울,165.0,126.8
서울-072,서울,162.0,85.4
서울-073,서울,,100.6
서울-074,서울,164.2,118.9
서울-075,서울,170.3,105.3
서울-076,서울,188.0,116.7
서울-077,서울,178.0,154.2
서울-078,서울,164.8,125.2
서울-079,서울,179.0,95.0
서울-080,서울,163.4,119.4
부산-001,부산,171.6,103.9
부산-002,부산,153.9,90.8
부산-003,부산,160.8,129.0
부산-004,부산,158.0,89.7
부산-005,부산,150.8,101.1
부산-006,부산,162.5,103.3
부산-007,부산,116.2,95.9
부산-008,부산,152.9,108.5
부산-009,부산,156.1,95.6
부산-010,부산,163.0,
부산-011,부산,149.1,107.1
부산-012,부산,131.6,86.4
부산-013,부산,143.7,95.9
부산-014,부산,152.6,70.1
부산-015,부산,137.6,84.5
부산-016,부산,133.6,105.4
부산-017,부산,181.0,102.5
부산-018,부산,147.2,98.9
부산-019,부산,181.9,81.7
부산-020,부산,177.0,135.6
부산-021,부산,150.4,97.7
부산-022,부산,144.8,106.3
부산-023,부산,176.9,97.1
부산-024,부산,106.2,100.6
부산-025,부산,151.0,84.4
부산-026,부산,104.5,95.4
부산-027,부산,124.8,101.4
부산-028,부산,161.5,105.9
부산-029,부산,136.3,89.9
부산-030,부산,119.5,112.3
부산-031,부산,151.7,102.4
부산-032,부산,149.3,103.3
부산-033,부산,156.0,114.3
부산-034,부산,141.8,113.4
부산-035,부산,143.8,114.4
부산-036,부산,135.8,82.5
부산-037,부산,169.5,112.6
부산-038,부산,130.4,102.2
부산-039,부산,191.5,60.4
부산-040,부산,141.6,103.6
부산-041,부산,141.2,103.4
부산-042,부산,179.7,98.6
부산-043,부산,142.8,81.2
부산-044,부산,128.0,88.0
부산-045,부산,155.0,100.3
부산-046,부산,135.6,116.5
부산-047,부산,161.4,
부산-048,부산,146.1,112.6
부산-049,부산,120.4,98.1
부산-050,부산,,111.5
부산-051,부산,178.5,105.1
부산-052,부산,135.5,98.9
부산-053,부산,,82.8
부산-054,부산,153.3,100.6
부산-055,부산,140.5,105.4
부산-056,부산,143.2,
부산-057,부산,149.1,107.0
부산-058,부산,,101.6
부산-059,부산,145.4,109.0
부산-060,부산,158.8,125.0
부산-061,부산,,99.4
부산-062,부산,113.4,
부산-063,부산,139.2,
부산-064,부산,143.1,96.4
부산-065,부산,135.0,112.6
부산-066,부산,141.5,104.3
부산-067,부산,155.9,90.2
부산-068,부산,161.8,92.2
부산-069,부산,149.6,124.3
부산-070,부산,182.7,99.4
부산-071,부산,,95.0
부산-072,부산,158.1,98.3
부산-073,부산,142.8,
부산-074,부산,186.3,
부산-075,부산,165.9,109.2
부산-076,부산,156.0,103.9
부산-077,부산,144.3,
부산-078,부산,154.7,106.5
부산-079,부산,,71.2
부산-080,부산,141.2,110.2
대전-001,대전,119.6,102.0
대전-002,대전,133.4,87.1
대전-003,대전,134.1,90.6
대전-004,대전,87.0,99.9
대전-005,대전,115.7,82.3
대전-006,대전,,84.3
대전-007,대전,146.3,
대전-008,대전,142.3,79.7
대전-009,대전,122.1,103.0
대전-010,대전,111.3,103.9
대전-011,대전,151.5,88.4
대전-012,대전,172.3,96.7
대전-013,대전,112.6,96.3
대전-014,대전,146.2,86.5
대전-015,대전,132.4,85.2
대전-016,대전,128.8,116.6
대전-017,대전,118.3,92.1
대전-018,대전,126.1,
대전-019,대전,118.4,111.5
대전-020,대전,156.3,104.6
대전-021,대전,167.6,100.2
대전-022,대전,110.2,84.2
대전-023,대전,134.5,101.4
대전-024,대전,139.1,76.8
대전-025,대전,131.1,81.9
대전-026,대전,102.8,104.8
대전-027,대전,130.0,86.9
대전-028,대전,155.5,99.3
대전-029,대전,138.4,
대전-030,대전,152.0,93.7
대전-031,대전,121.4,73.3
대전-032,대전,,103.0
대전-033,대전,151.4,
대전-034,대전,125.4,94.2
대전-035,대전,123.2,88.0
대전-036,대전,117.6,99.4
대전-037,대전,109.1,119.1
대전-038,대전,118.5,90.5
대전-039,대전,143.7,93.3
대전-040,대전,102.3,105.5
대전-041,대전,,93.0
대전-042,대전,115.3,49.2
대전-043,대전,139.4,82.1
대전-044,대전,134.7,80.5
대전-045,대전,121.4,74.2
대전-046,대전,142.2,
대전-047,대전,148.1,79.2
대전-048,대전,115.7,119.4
대전-049,대전,132.7,103.9
대전-050,대전,148.3,92.5
대전-051,대전,,94.7
대전-052,대전,85.3,
대전-053,대전,108.6,93.9
대전-054,대전,134.9,70.2
대전-055,대전,112.3,94.3
대전-056,대전,123.9,108.5
대전-057,대전,136.4,106.5
대전-058,대전,127.7,89.8
대전-059,대전,142.2,
대전-060,대전,135.1,97.5
대전-061,대전,,63.5
대전-062,대전,132.3,102.9
대전-063,대전,140.0,96.1
대전-064,대전,119.9,
대전-065,대전,122.3,75.5
대전-066,대전,117.3,118.8
대전-067,대전,121.5,110.7
대전-068,대전,133.2,60.9
대전-069,대전,143.4,96.6
대전-070,대전,126.9,95.3
대전-071,대전,,85.8
대전-072,대전,97.9,85.5
대전-073,대전,110.4,81.0
대전-074,대전,136.2,105.4
대전-075,대전,163.6,91.4
대전-076,대전,115.7,88.9
대전-077,대전,117.8,86.5
대전-078,대전,113.4,108.5
대전-079,대전,138.9,
대전-080,대전,156.5,
광주-001,광주,114.5,87.2
