학생ID,소속,나이,전공유형,비고
S0307,사회대,29,단일전공,
S0128,공과대,28,단일전공,
S0094,자연대,21,단일전공,
S0268,,인문대,19,복수전공
S0113,,인문대,29,복수전공
S0061,공과대,21,단일전공,
S0039,사회대,21,단일전공,
S0056,,공과대,28,복수전공
S0009,자연대,19,단일전공,
S0091,자연대,20,단일전공,
S0240,,사회대,19,복수전공
S0055,사회대,28,단일전공,
S0283,,인문대,26,복수전공
S0019,자연대,26,단일전공,
S0149,,사회대,24,복수전공
S0109,,인문대,20,복수전공
S0292,사회대,19,단일전공,
S0317,공과대,26,단일전공,
S0320,자연대,19,단일전공,
S0083,,사회대,25,복수전공
S0290,공과대,20,단일전공,
S0291,,자연대,25,복수전공
S0046,공과대,25,단일전공,
S0198,자연대,24,단일전공,
S0190,인문대,19,단일전공,
S0223,자연대,21,단일전공,
S0313,,인문대,21,복수전공
S0126,사회대,21,단일전공,
S0226,,공과대,21,복수전공
S0163,사회대,28,단일전공,
S0269,자연대,25,단일전공,
S0136,,자연대,28,복수전공
S0306,공과대,23,단일전공,
S0087,인문대,21,단일전공,
S0206,,사회대,22,복수전공
S0151,인문대,27,단일전공,
S0040,,인문대,26,복수전공
S0010,,인문대,26,복수전공
S0197,공과대,26,단일전공,
S0080,,자연대,19,복수전공
S0118,사회대,24,단일전공,
S0057,사회대,28,단일전공,
S0003,공과대,21,단일전공,
S0204,공과대,28,단일전공,
S0167,,인문대,22,복수전공
S0153,자연대,29,단일전공,
S0258,공과대,19,단일전공,
S0023,자연대,29,단일전공,
S0013,공과대,28,단일전공,
S0084,공과대,20,단일전공,
S0114,,사회대,21,복수전공
S0213,인문대,28,단일전공,
S0117,사회대,19,단일전공,
S0028,인문대,26,단일전공,
S0192,사회대,23,단일전공,
S0124,공과대,26,단일전공,
S0239,자연대,26,단일전공,
S0202,자연대,26,단일전공,
S0140,사회대,22,단일전공,
S0036,공과대,23,단일전공,
S0245,,인문대,25,복수전공
S0303,사회대,27,단일전공,
S0177,,인문대,19,복수전공
S0225,공과대,27,단일전공,
S0300,사회대,29,단일전공,
S0242,,공과대,28,복수전공
S0037,,사회대,29,복수전공
S0214,,인문대,20,복수전공
S0310,사회대,21,단일전공,
S0031,사회대,22,단일전공,
S0092,,인문대,25,복수전공
S0119,,사회대,22,복수전공
S0166,자연대,27,단일전공,
S0088,,사회대,26,복수전공
S0011,사회대,21,단일전공,
S0100,공과대,22,단일전공,
S0233,사회대,24,단일전공,
S0050,,사회대,20,복수전공
S0160,자연대,26,단일전공,
S0181,,사회대,22,복수전공
S0108,인문대,22,단일전공,
S0131,공과대,20,단일전공,
S0311,공과대,28,단일전공,
S0222,공과대,29,단일전공,
S0264,인문대,22,단일전공,
S0065,사회대,20,단일전공,
S0145,공과대,29,단일전공,
S0026,,인문대,27,복수전공
S0217,공과대,27,단일전공,
S0157,,자연대,29,복수전공
S0315,,인문대,22,복수전공
S0146,공과대,23,단일전공,
S0180,사회대,21,단일전공,
S0134,,사회대,25,복수전공
S0164,공과대,20,단일전공,
S0041,공과대,19,단일전공,
S0141,,공과대,21,복수전공
S0001,공과대,29,단일전공,
S0048,자연대,29,단일전공,
S0062,,공과대,27,복수전공
S0314,,사회대,26,복수전공
S0285,공과대,24,단일전공,
S0144,공과대,28,단일전공,
S0230,,자연대,28,복수전공
