id,biz_type,area,age,num_households,num_staff,ad_cost,sales
BLD01049,residential,374.4,23,38,66,2139,8648
BLD00739,residential,192.1,30,92,25,2804,7630
BLD00016,industrial,160.4,48,150,33,1892,10709
BLD00778,residential,95.1,34,154,13,571,6841
BLD00172,residential,124.9,3,197,27,1974,9097
BLD00934,residential,346.0,3,92,40,3284,11531
BLD00544,industrial,256.1,30,76,36,2274,11852
BLD01067,public,571.0,24,113,49,3254,22061
BLD00130,residential,300.1,21,12,48,4080,11395
BLD00201,commercial,108.9,13,38,25,567,3654
BLD00368,residential,364.4,40,138,77,4224,21289
BLD01014,industrial,231.4,49,99,13,4033,10680
BLD01076,public,60.8,19,167,13,2554,6091
BLD00876,residential,228.6,3,193,51,1569,10004
BLD00264,residential,181.2,46,76,5,2061,5439
BLD01073,residential,91.7,9,4,62,1356,4673
BLD00051,residential,525.0,11,122,27,2894,12217
BLD00724,residential,138.8,38,93,23,3574,4111
BLD00987,residential,254.5,3,162,68,1447,20770
BLD01074,public,413.4,17,88,53,3578,16300
BLD00252,commercial,265.0,39,94,56,4128,16153
BLD00307,residential,463.6,1,64,66,662,14233
BLD00395,residential,209.1,29,205,46,4211,16885
BLD00832,public,307.1,13,28,22,338,2681
BLD00612,residential,161.6,12,64,43,3142,8127
BLD00884,commercial,141.2,45,214,12,2188,10860
BLD00397,residential,277.2,34,98,17,2433,4105
BLD00559,residential,155.9,35,118,38,4932,7723
BLD00644,commercial,137.4,32,190,18,4300,11500
BLD00777,residential,262.2,28,14,50,2499,5487
BLD00542,commercial,124.2,42,174,74,4254,23685
BLD01172,residential,290.8,27,34,21,3917,6706
BLD00245,residential,150.7,11,154,70,3137,15521
BLD00373,residential,349.0,13,160,39,1916,12718
BLD00110,residential,198.4,17,67,19,1912,4392
BLD01174,residential,130.0,13,102,26,4044,6491
BLD00304,residential,165.8,44,150,4,1146,6347
BLD00658,commercial,211.5,5,110,5,1806,4308
BLD00010,residential,328.3,34,151,45,4555,16097
BLD00843,commercial,359.9,21,30,33,2964,11936
BLD00684,commercial,202.7,50,173,37,1734,8248
BLD00158,public,142.1,24,115,66,130,8633
BLD00148,residential,144.5,24,117,27,3935,4385
BLD00066,residential,131.4,10,164,56,4047,15297
BLD00191,residential,117.6,12,62,77,3925,9805
BLD00244,residential,128.9,21,41,35,596,2833
BLD00290,public,155.5,24,148,41,1526,6605
BLD00821,residential,200.3,2,216,68,4052,27973
BLD00008,industrial,178.6,22,88,65,4130,14483
BLD00113,residential,431.1,5,139,13,3544,14529
BLD00790,commercial,198.1,31,201,59,1520,20918
BLD00132,residential,242.2,18,193,8,2028,10787
BLD01128,residential,198.9,38,120,37,4714,12435
BLD00165,commercial,108.9,15,19,30,2576,5842
BLD01075,residential,195.5,8,207,17,3665,8580
BLD00795,residential,156.2,10,146,66,2389,14233
BLD00614,public,297.5,45,194,19,2646,9228
BLD00236,residential,127.2,22,140,24,1276,8104
BLD00685,residential,248.2,36,153,8,2048,6847
BLD00453,commercial,222.0,25,200,57,3236,28597
BLD00683,commercial,338.7,49,201,49,2864,19955
BLD00907,industrial,210.9,6,145,73,3857,21371
BLD00125,public,240.3,7,199,11,4190,9592
BLD00648,public,126.8,45,127,66,1691,5239
BLD00877,commercial,170.7,8,140,58,4236,22553
BLD00918,industrial,324.9,34,181,47,2321,20217
BLD00177,residential,218.6,30,24,29,4236,5887
BLD00917,public,201.0,8,201,68,269,11319
BLD01051,industrial,121.3,9,41,36,2338,6194
BLD00091,industrial,239.9,17,6,37,2024,9118
BLD00906,residential,105.8,27,34,8,546,2717
BLD00058,industrial,223.8,18,189,41,2566,23008
BLD00041,commercial,336.6,11,141,63,1115,14929
