student_id,class,midterm,final
STU001,A,76.3,86.0
STU002,A,70.3,68.2
STU003,A,63.3,63.6
STU004,A,92.5,105.6
STU005,A,62.3,73.7
STU006,A,68.0,68.5
STU007,A,65.9,77.6
STU008,A,87.1,95.0
STU009,A,81.4,78.5
STU010,A,68.2,82.6
STU011,A,66.3,69.4
STU012,A,76.0,82.5
STU013,A,76.5,79.8
STU014,A,73.4,79.1
STU015,A,64.9,66.2
STU016,A,73.2,84.0
STU017,A,80.5,79.5
STU018,A,75.9,81.7
STU019,A,62.8,64.0
STU020,A,79.7,82.4
STU021,A,57.0,61.1
STU022,A,83.9,91.6
STU023,A,75.9,76.7
STU024,A,65.3,69.6
STU025,A,79.7,93.0
STU026,A,74.3,70.8
STU027,A,71.6,80.4
STU028,A,72.4,79.6
STU029,A,80.5,84.3
STU030,A,65.4,68.3
STU031,A,77.9,80.1
STU032,A,70.4,78.1
STU033,A,75.6,81.0
STU034,A,56.7,68.1
STU035,A,78.2,84.3
STU036,A,75.6,80.3
STU037,A,74.4,84.6
STU038,A,73.2,83.8
STU039,A,80.0,83.6
STU040,A,55.6,54.5
STU041,A,79.5,88.7
STU042,A,82.9,91.1
STU043,A,80.8,86.7
STU044,A,83.8,83.3
STU045,A,76.3,83.9
STU046,A,72.0,72.0
STU047,A,90.4,91.9
STU048,A,68.7,76.9
STU049,A,71.5,73.3
STU050,A,64.9,70.1
STU051,A,79.2,87.6
STU052,A,80.8,93.0
STU053,A,86.7,88.6
STU054,A,73.9,78.7
STU055,A,67.6,80.2
STU056,A,77.1,78.2
STU057,A,64.3,73.6
STU058,A,80.0,85.5
STU059,A,79.2,86.7
STU060,A,70.1,75.8
STU061,B,74.8,68.7
STU062,B,67.2,72.6
STU063,B,72.5,68.7
STU064,B,73.1,75.6
STU065,B,75.3,78.9
STU066,B,68.0,79.9
STU067,B,72.0,77.4
STU068,B,75.9,78.0
STU069,B,60.6,57.9
STU070,B,79.7,79.0
STU071,B,81.0,81.3
STU072,B,75.4,89.3
STU073,B,68.5,64.1
STU074,B,72.5,75.6
STU075,B,53.4,64.6
STU076,B,79.7,80.6
STU077,B,71.0,68.6
STU078,B,76.1,70.9
STU079,B,75.4,74.4
STU080,B,63.3,62.4
STU081,B,72.5,84.8
STU082,B,71.0,70.1
STU083,B,90.5,88.1
STU084,B,54.2,65.8
STU085,B,82.7,87.5
STU086,B,77.7,72.4
STU087,B,82.4,80.9
STU088,B,78.0,82.6
STU089,B,82.2,81.6
STU090,B,67.1,59.0
STU091,B,80.2,88.5
STU092,B,72.6,77.1
STU093,B,89.2,85.8
STU094,B,92.2,98.9
STU095,B,84.7,80.0
STU096,B,68.0,65.7
STU097,B,73.2,74.7
STU098,B,72.8,75.3
STU099,B,86.9,85.9
STU100,B,73.5,83.5
STU101,B,57.5,71.0
STU102,B,82.1,86.3
STU103,B,49.7,57.0
STU104,B,63.5,67.0
STU105,B,63.7,69.2
STU106,B,77.7,73.7
STU107,B,91.1,94.1
STU108,B,75.8,86.8
STU109,B,64.7,68.9
STU110,B,75.0,74.3
STU111,B,78.3,89.0
STU112,B,69.0,74.9
STU113,B,79.7,85.1
STU114,B,73.1,72.0
STU115,B,67.4,72.0
STU116,B,69.6,72.2
STU117,B,76.2,75.1
STU118,B,67.8,77.2
STU119,B,69.5,67.2
STU120,B,72.3,71.7
