passed,study_hours,attendance,assignment,gender
1,5.6,89.0,7,male
0,1.5,58.7,4,male
1,6.6,85.1,8,male
0,2.2,89.3,1,male
0,2.2,85.5,4,female
1,8.1,78.5,6,female
1,5.6,91.3,10,male
0,4.7,79.7,10,male
0,6.2,78.9,7,male
0,5.4,91.0,6,male
0,4.0,80.1,8,female
0,2.3,58.3,1,female
1,9.0,64.3,3,male
0,1.8,62.3,2,male
1,8.6,95.5,3,female
0,5.8,74.1,4,male
0,6.0,64.6,9,female
1,8.6,76.2,5,female
0,2.4,78.6,6,female
0,3.7,65.5,7,female
1,8.4,95.8,8,female
1,9.8,55.7,9,male
0,9.4,88.0,5,female
0,3.8,66.8,1,female
1,5.3,82.1,4,female
0,4.4,84.3,1,male
1,8.9,59.7,5,male
0,4.3,69.7,3,female
0,4.5,68.2,7,female
0,1.3,91.8,2,male
1,6.7,96.9,1,male
0,1.1,99.4,9,female
0,2.8,92.9,2,male
1,8.9,74.7,5,female
0,1.0,59.6,8,male
0,2.0,98.2,3,female
0,6.6,80.9,4,male
1,10.0,88.9,2,female
1,6.1,66.6,5,male
0,5.4,55.4,1,male
0,1.9,71.8,4,female
0,5.7,63.8,3,female
0,3.6,66.6,4,male
0,6.9,72.9,1,female
0,9.9,77.0,1,female
0,6.8,96.7,3,female
1,3.7,60.2,10,female
0,2.3,97.3,8,female
0,5.4,86.0,7,male
0,2.5,65.7,8,male
0,3.5,83.5,1,female
0,1.9,75.8,8,female
1,9.4,70.3,9,male
0,5.4,80.7,6,male
0,7.5,62.7,4,male
0,2.7,69.4,1,female
0,2.9,64.0,2,female
0,3.2,62.3,9,female
0,2.6,73.1,10,female
0,4.3,59.1,3,male
1,9.8,62.3,8,male
0,3.6,99.0,2,male
1,9.8,69.0,4,female
0,9.3,75.4,10,male
0,6.7,83.0,9,male
0,2.1,99.1,9,female
1,8.7,94.7,8,male
1,8.0,95.9,2,female
0,8.3,57.2,2,female
1,6.2,68.5,9,male
0,1.3,58.5,9,male
0,5.8,82.9,2,male
0,4.1,86.8,4,male
0,4.0,78.1,1,male
0,6.5,55.9,1,female
1,8.4,70.3,7,female
0,3.5,84.1,3,female
1,5.5,88.9,2,male
0,8.5,89.0,2,male
1,4.9,88.5,6,male
1,5.4,95.5,6,male
1,7.8,73.8,4,male
0,8.0,64.5,5,female
0,5.7,90.8,8,female
0,6.7,87.5,5,male
0,3.6,63.0,4,female
1,8.4,74.9,8,male
1,8.9,65.5,5,female
0,5.1,64.2,2,female
1,6.6,81.5,2,female
0,3.4,61.4,1,female
1,7.5,86.3,10,female
0,4.4,77.1,8,male
0,4.1,77.7,3,male
1,7.3,60.7,10,female
1,6.3,71.1,8,female
1,8.6,97.7,2,male
1,7.0,59.5,9,female
1,6.3,95.2,6,female
0,6.5,94.5,5,male
0,3.3,89.0,4,female
0,4.7,70.3,3,female
0,8.2,87.0,5,male
0,4.9,74.7,10,male
0,1.3,89.7,9,male
1,6.2,64.9,5,female
0,3.5,69.5,10,male
0,8.7,87.4,8,female
0,4.2,69.9,6,male
0,8.2,68.5,1,female
0,8.8,76.2,8,male
1,1.0,96.9,7,female
0,8.1,59.7,1,female
1,3.7,65.4,6,female
