ID,Attrition_Flag,Gender,Customer_Age,Income_Category,Card_Category,Credit_Limit,Total_Revolving_Bal,Avg_Utilization_Ratio,Avg_Open_To_Buy,Months_Inactive_12_mon
9251,Existing Customer,M,35,$40K - $60K,Gold,22725.0,808,0.036,21917.0,1
8091,Attrited Customer,F,49,$40K - $60K,Blue,2655.0,2283,0.86,372.0,2
8762,Existing Customer,M,41,$80K - $120K,Blue,12578.0,2517,0.2,10061.0,3
1170,Existing Customer,M,35,$80K - $120K,Silver,34516.0,1872,0.054,32644.0,3
7182,Existing Customer,F,44,Unknown,Blue,2717.0,1720,0.633,997.0,3
4464,Existing Customer,F,54,Less than $40K,Blue,3062.0,2039,0.666,1023.0,1
9086,Existing Customer,F,40,$40K - $60K,Silver,19000.0,1568,0.083,17432.0,2
2196,Existing Customer,M,50,$120K +,Blue,34516.0,0,0.0,34516.0,1
9536,Existing Customer,M,47,$40K - $60K,Blue,3471.0,0,0.0,3471.0,2
594,Attrited Customer,F,44,Less than $40K,Blue,7222.0,0,0.0,7222.0,1
9055,Existing Customer,M,38,$60K - $80K,Gold,34516.0,1494,0.043,33022.0,2
5047,Existing Customer,F,43,Less than $40K,Blue,3186.0,2517,0.79,669.0,2
3121,Existing Customer,F,40,Less than $40K,Blue,1438.3,915,0.636,523.3,3
8964,Existing Customer,M,61,Unknown,Blue,9070.0,2097,0.231,6973.0,1
6757,Existing Customer,F,43,Less than $40K,Blue,1884.0,1216,0.645,668.0,4
4315,Existing Customer,M,42,$40K - $60K,Blue,2502.0,1488,0.595,1014.0,3
8620,Existing Customer,M,40,$60K - $80K,Blue,13452.0,2517,0.187,10935.0,2
4966,Attrited Customer,M,42,$60K - $80K,Blue,15699.0,0,0.0,15699.0,3
2527,Existing Customer,F,33,$40K - $60K,Blue,8232.0,2259,0.274,5973.0,1
8170,Existing Customer,F,33,$40K - $60K,Blue,1438.3,0,0.0,1438.3,3
6287,Existing Customer,F,44,Less than $40K,Blue,3226.0,2517,0.78,709.0,1
4594,Existing Customer,M,44,$60K - $80K,Blue,5950.0,1117,0.188,4833.0,6
5552,Existing Customer,F,46,Less than $40K,Blue,1787.0,1324,0.741,463.0,3
1756,Existing Customer,M,33,$80K - $120K,Blue,13206.0,925,0.07,12281.0,3
5857,Attrited Customer,M,50,$120K +,Blue,1656.0,0,0.0,1656.0,3
3645,Existing Customer,M,48,$40K - $60K,Blue,9617.0,2035,0.212,7582.0,3
1488,Existing Customer,F,26,$40K - $60K,Blue,5655.0,0,0.0,5655.0,1
8678,Existing Customer,F,38,Less than $40K,Gold,15987.0,1766,0.11,14221.0,3
6436,Existing Customer,F,40,Less than $40K,Blue,1538.0,0,0.0,1538.0,2
254,Existing Customer,M,70,Less than $40K,Blue,3252.0,1495,0.46,1757.0,2
2730,Existing Customer,F,49,Less than $40K,Blue,3397.0,1962,0.578,1435.0,3
6907,Attrited Customer,M,62,$60K - $80K,Silver,28229.0,287,0.01,27942.0,5
3178,Existing Customer,M,38,$80K - $120K,Blue,15410.0,0,0.0,15410.0,1
