"lfp","k5","k618","age","wc","hc","lwg","inc"
"no",0,1,37,"no","no",1.0154022,34
"yes",0,1,54,"yes","no",0.8648585,16.1420002
"no",2,0,32,"yes","yes",1.2301208,14.6999998
"no",0,1,51,"no","no",0.8548406,18.75
"yes",0,0,50,"no","no",1.8325815,27
"yes",1,2,36,"yes","yes",1.9195929,14.1999998
"yes",0,0,37,"yes","yes",1.7917595,17.0699997
"yes",0,1,39,"no","no",0.8711449,13.6769991
"no",0,2,45,"no","yes",0.9762154,29.2999992
"yes",0,3,36,"no","yes",1.6032073,16.3999996
"no",0,3,47,"no","no",1.2094852,13.5299997
"yes",0,2,36,"yes","yes",1.7037485,23.6000004
"no",0,0,51,"no","no",0.4071807,12.0900002
"no",0,2,49,"no","no",0.2441965,6.5310001
"yes",0,0,46,"no","yes",0.8651225,10.3199997
"yes",0,2,42,"no","no",1.3217559,17.0499992
"no",0,2,45,"no","no",1.0684031,88
"no",0,0,58,"no","no",0.4444938,10.592
"no",0,0,58,"no","no",0.3109987,37.7000008
"yes",0,1,43,"yes","yes",1.3682758,16.7700005
"no",0,1,49,"no","no",0.8514767,28.0699997
"yes",0,1,51,"no","no",0.8580216,22.25
"no",0,1,44,"no","no",0.9764099,40.5
"no",0,0,49,"no","no",0.7900099,8.6300001
"yes",1,1,45,"no","no",1.2412686,23.7089996
"yes",2,0,31,"yes","yes",2.2302644,14.2449999
"yes",0,2,43,"no","no",1.1222221,23.2490005
"no",1,0,31,"yes","no",1.6697453,18.2000008
"no",0,0,53,"yes","yes",1.0620506,41.5
"no",0,2,47,"no","yes",1.0081447,32.5
"yes",0,1,34,"yes","yes",1.688481,26.0000019
"no",0,2,37,"yes","yes",1.0651624,15.8999996
"yes",0,3,54,"yes","yes",1.0162892,34.5999985
"yes",0,0,30,"yes","yes",2.6831658,17.4999962
"no",0,2,31,"no","no",0.7792174,12.9160004
"no",1,2,33,"no","no",0.6061511,8.0089998
"yes",0,2,32,"no","no",0.8030804,9.0200005
"yes",0,1,43,"no","no",2.0661962,25
"yes",0,0,51,"no","no",0.9555114,20.6800003
"yes",0,2,34,"yes","no",1.2264457,17.2000008
"yes",0,0,51,"yes","no",1.7260362,14.5939999
"no",0,1,42,"yes","yes",1.2022138,31
"yes",0,0,43,"no","no",1.3610165,18.5599995
"yes",0,2,43,"yes","no",1.3791769,8.5600004
"no",0,1,48,"yes","yes",1.3429654,31.5
"no",0,0,52,"no","no",0.7997742,24
"no",1,3,36,"no","yes",0.7379813,26.8999996
"yes",0,3,30,"no","no",0.6931472,14.1300001
"yes",0,1,48,"no","no",1.3415585,59
"yes",0,0,30,"no","no",1.2729658,8.0899992
"yes",0,3,43,"no","no",1.4271164,12.54
"yes",0,5,37,"yes","yes",2.1202636,34.75
"no",0,5,38,"yes","yes",1.0138489,21.8500004
"yes",0,1,48,"yes","yes",1.6549002,70.75
"no",2,0,30,"no","yes",1.0443147,12.1000004
"no",0,3,37,"yes","yes",1.4327934,28.6299992
"no",0,1,45,"no","yes",1.016539,15.1499996
"no",0,1,44,"no","no",0.8524491,13.3900003
"no",0,2,50,"no","no",0.9058391,40.7999992
"no",0,3,31,"no","no",0.6791221,4.3499999
"yes",0,0,47,"no","no",0.7092764,13.9000006
"yes",0,3,36,"yes","yes",1.4017986,15.8000002
"yes",0,4,36,"no","yes",0.2876818,25.2000008
"yes",0,0,56,"yes","yes",1.2658482,24.7000008
"yes",1,0,31,"yes","yes",1.98182,15.0999994
"yes",0,0,58,"no","yes",1.8921324,16
"yes",1,5,30,"no","no",0.7013053,7.2000003
"no",0,2,49,"no","no",0.868948,16.7360001
"yes",0,2,32,"yes","yes",1.5471342,11.1799994
"no",0,2,46,"no","no",0.906617,24.1350002
"no",0,0,49,"no","no",1.2271129,16
"no",0,0,60,"yes","yes",1.2476975,55.5999985
"yes",0,0,34,"no","no",0.2010386,13.8920002
"no",0,0,52,"no","no",1.2589005,18.5
"yes",0,0,53,"no","no",0.2025245,27.1999989
"yes",0,2,32,"no","no",1.6337306,13.8199997
"no",0,1,55,"no","no",0.3661391,13.3999996
"no",1,3,41,"no","no",0.9769933,30.6229992
"no",0,0,56,"no","no",0.7743551,16.5760002
"no",0,1,43,"no","no",1.2664924,14
"no",0,0,52,"no","no",1.3134575,19.2369995
"no",0,3,36,"yes","yes",1.4329879,48.2999992
"yes",1,2,47,"no","yes",0.8783384,20.9889984
"yes",0,1,46,"yes","yes",1.3217559,16.5550003
"yes",0,1,46,"no","no",0.8284885,27.3139992
"yes",0,1,49,"no","yes",2.2331755,19.7000008
"no",0,0,60,"no","no",0.4162857,14
"no",0,0,60,"no","no",1.2249736,24.9839993
"yes",0,1,38,"no","no",1.0671136,12.5
"yes",0,2,41,"yes","yes",1.4806052,11.999999
"no",0,0,55,"no","no",0.9520319,15
"yes",0,1,45,"yes","no",1.3903024,52.5
"yes",0,0,45,"no","no",1.5198573,7.1419997
"no",0,0,50,"no","no",0.9058391,21.6000004
"no",1,3,37,"no","no",0.7269315,14.75
"yes",0,1,39,"no","no",0.8409411,4.8000007
"no",0,3,40,"no","no",1.2108465,15.0959997
"yes",0,0,59,"no","no",0.8377283,3.3000002
"yes",0,1,38,"no","no",1.4913896,15.5400009
"yes",0,0,50,"yes","yes",-0.433636,41.0999985
"yes",1,2,31,"yes","yes",0.9450333,22.5
"yes",1,0,32,"no","no",1.2101647,10.9100008
"no",1,1,48,"no","no",0.4588832,14.0600004
"no",0,0,53,"yes","yes",1.143383,20.2000008
"no",0,1,45,"yes","yes",1.2797551,20.2199993
"yes",1,0,30,"no","yes",1.6023204,19.0799999
"yes",0,2,32,"yes","yes",2.1530533,43.2999992
"no",1,1,30,"no","no",0.7391483,25.1000004
"yes",0,1,44,"yes","yes",2.7333677,51.3000069
"no",0,1,39,"no","no",0.7517971,15.1890001
"yes",0,1,54,"yes","yes",2.1202636,20.9500008
"no",2,1,33,"yes","yes",1.0503179,40.25
"yes",0,5,52,"no","yes",0.6931472,42.9099998
"no",0,0,52,"no","no",1.1224731,12.3999996
"yes",0,2,45,"yes","yes",1.9444993,35.7550011
"yes",0,0,51,"no","yes",0.8209804,16.6500015
"yes",0,3,43,"no","no",1.4654578,25.0750008
"no",0,2,50,"no","yes",0.9530044,30.2999992
"yes",0,2,32,"yes","no",1.9241487,24.6259995
"no",0,3,32,"no","no",1.0163747,16.6000004
"yes",0,4,31,"no","no",0.9263413,14.8999987
"yes",0,0,45,"no","no",0.6208265,13.5
"yes",0,1,45,"no","no",0.7243997,23.5599995
"no",0,3,41,"no","yes",1.0691812,77
"no",0,0,59,"no","no",0.8024642,22.4220009
"yes",0,1,44,"yes","no",0.5163968,14.5199995
"yes",1,3,36,"no","no",3.2188759,21
"no",0,1,37,"no","no",0.6321109,27
"no",0,0,48,"no","no",0.6594997,17.2579994
"no",0,2,38,"no","yes",0.8710875,33.0999985
"yes",1,2,35,"yes","yes",1.3783262,23.5
"yes",0,4,35,"no","no",1.5404451,18.3999996
"yes",0,4,41,"no","no",2.479322,6.9500017
"yes",0,0,54,"no","no",0.765718,20.25
"no",0,0,43,"no","no",0.9425184,11.8950005
"yes",1,1,31,"yes","no",1.6894807,14.499999
"yes",0,2,32,"no","no",-1.0296193,18.1000004
"yes",0,2,33,"no","no",1.1077996,10.9540005
"no",0,0,47,"yes","yes",1.2515764,56.0999985
"yes",0,3,31,"no","no",1.4971018,18
"yes",0,0,45,"no","no",0.6931472,14.1000004
"yes",0,3,48,"no","no",0.1812526,13.3920002
"yes",0,4,37,"no","no",0.5543109,12.75
"no",0,4,41,"yes","yes",1.331652,18.4500008
"yes",0,4,39,"no","no",0.9162908,12.8999996
"yes",0,0,51,"yes","yes",0,25.2999992
"no",1,1,30,"no","yes",0.9097289,42.25
"yes",0,3,35,"no","no",0.2980447,17.5310001
"no",0,7,34,"no","no",0.7013521,7.2319999
"no",0,4,36,"no","no",0.857758,15.5
"yes",1,0,36,"yes","yes",1.8325815,17
"no",0,2,52,"no","no",1.1889068,14.6000004
"yes",0,0,52,"no","no",1.8325815,28.7999992
"yes",2,0,32,"yes","yes",1.5649862,15.0999994
"yes",0,2,49,"no","yes",0.94469,14.434001
"yes",0,0,50,"no","yes",1.491655,16.9999981
"yes",0,2,35,"no","no",-1.8225309,17.8999996
"no",0,1,42,"yes","yes",1.2140751,24.1060009
"no",0,1,42,"no","no",0.8703095,16.1000004
"no",1,2,30,"no","no",0.9876235,8.1000004
"yes",0,0,56,"yes","yes",1.9761044,18.1590004
"no",0,3,53,"no","no",0.1006193,3.777
"no",0,3,43,"no","no",0.7257645,19.8549995
"no",1,2,40,"no","yes",0.9771879,21
"no",0,0,54,"yes","yes",1.2520049,35.0200005
"no",0,1,41,"no","yes",1.2186279,19.5
"no",0,3,51,"no","no",0.9759441,19.7000008
"yes",0,1,32,"no","yes",-0.7419373,17.1499996
