"education","income","women","prestige","census","type"
8.49,8845,0,48.9,9131,"bc"
11.59,4036,97.51,46,4111,"wc"
15.77,19263,5.13,82.3,2343,"prof"
11.49,3148,95.97,41.9,4113,"wc"
13.11,12351,11.16,68.8,1113,"prof"
8.55,3617,70.87,35.2,9517,"bc"
8.78,6573,5.78,43.7,8515,"bc"
7.33,3000,69.31,20.8,6162,"bc"
8.6,1656,27.75,21.5,7182,"bc"
7.54,4199,33.3,38.9,8213,"bc"
6.38,2847,90.67,28.2,8563,"bc"
7.64,5134,17.26,25.2,8215,"bc"
12.79,5180,76.04,67.5,3156,"wc"
12.77,9271,15.7,63.4,1171,"prof"
12.39,5902,1.91,62,2161,"prof"
12.46,4614,96.12,64.7,3131,"prof"
12.09,3016,83.19,32.7,4161,"wc"
9.46,611,96.53,25.9,6147,NA
10.29,5449,2.92,37.2,8537,"bc"
8.5,3930,15.51,20.2,6123,"bc"
13.83,8425,15.33,53.8,2183,"prof"
6.84,3643,3.6,44.1,7112,NA
11.13,5052,56.1,51.1,4192,"wc"
7.58,5562,9.47,35.9,9171,"bc"
15.44,14163,2.69,78.1,2141,"prof"
9.93,2370,3.69,23.3,5145,"bc"
11.44,8206,8.13,54.1,3373,NA
15.22,9593,34.89,58.3,2391,"prof"
10.07,3739,52.27,37.2,4173,"wc"
7.11,3472,33.57,17.3,6191,"bc"
7.42,1890,72.24,23.2,8221,"bc"
11.09,6992,24.44,47.1,5172,"wc"
8.4,6565,2.3,35.9,8333,"bc"
11.2,4741,47.06,29.4,4191,"wc"
14.5,4686,4.14,72.8,2511,"prof"
9.62,918,7,14.8,5143,NA
12.71,7562,11.15,57.6,3337,"wc"
11.04,2901,92.86,38.7,4171,"wc"
15.08,8034,46.8,66.1,2733,"prof"
6.92,5299,0.56,38.9,8781,"bc"
8.1,5795,0.81,38.1,8581,"bc"
7.52,3910,1.09,26.5,8798,"bc"
11.36,4330,75.92,47.7,4143,"wc"
7.92,6477,5.17,41.8,8335,"bc"
15.64,11030,5.13,77.6,2113,"prof"
15.97,12480,19.59,84.6,2711,"prof"
9.17,4761,11.37,30.9,4153,"wc"
14.15,6112,77.1,58.1,2351,"prof"
8.81,6686,4.28,44.2,8313,"bc"
14.64,11023,0.94,68.8,2153,"prof"
9.93,7147,0.99,50.2,8733,"bc"
12.27,14032,0.58,66.1,9111,"prof"
10.09,8043,1.5,42.5,8311,"bc"
9.45,3485,76.14,34.9,3135,"bc"
10.57,7869,6.01,54.9,6141,"bc"
15.21,10432,24.71,69.3,3151,"prof"
9.47,8895,0,43.5,6111,"bc"
11.43,6259,39.17,35.7,4193,"wc"
10.05,2594,67.82,26.5,5137,"wc"
10.1,7716,0.78,50.3,8582,"bc"
13.62,5092,82.66,72.1,3137,"prof"
14.36,7405,48.28,74.9,2315,"prof"
12.26,25879,4.02,69.1,1130,"prof"
11,4075,63.23,35.6,4197,"wc"
6.74,3485,39.48,28.8,8278,"bc"
7.93,4224,3.59,25.1,9173,"bc"
13.62,5648,83.78,59.6,2731,"prof"
7.58,3582,30.08,20.1,6193,"bc"
14.62,8403,11.68,73.5,2111,"prof"
14.71,17498,6.91,68.4,3117,"prof"
8.76,3942,74.54,50.8,8534,"bc"
